From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology IDs	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (GO)
Q0KCJ5	Q0KCJ5	unreviewed	Q0KCJ5_CUPNH	Ribosome-associated heat shock protein	H16_A1135	GO:0003677; GO:0003727; GO:0034605; GO:0043023		cellular response to heat [GO:0034605]	DNA binding [GO:0003677]; ribosomal large subunit binding [GO:0043023]; single-stranded RNA binding [GO:0003727]	DNA binding [GO:0003677]; ribosomal large subunit binding [GO:0043023]; single-stranded RNA binding [GO:0003727]; cellular response to heat [GO:0034605]
F2R008	F2R008	unreviewed	F2R008_KOMPC	tRNA-dihydrouridine(47) synthase [NAD(P)(+)], EC 1.3.1.89 (tRNA-dihydrouridine synthase 3)	DUS3 PP7435_Chr4-0833	GO:0046872; GO:0050660; GO:0102265			flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; tRNA-dihydrouridine47 synthase activity [GO:0102265]	flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; tRNA-dihydrouridine47 synthase activity [GO:0102265]
Q0KA28	Q0KA28	reviewed	LPXA_CUPNH	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, UDP-N-acetylglucosamine acyltransferase, EC 2.3.1.129	lpxA H16_A2043	GO:0005737; GO:0008780; GO:0009245	cytoplasm [GO:0005737]	lipid A biosynthetic process [GO:0009245]	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity [GO:0008780]	cytoplasm [GO:0005737]; acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity [GO:0008780]; lipid A biosynthetic process [GO:0009245]
F2QLV6	F2QLV6	unreviewed	F2QLV6_KOMPC	Trafficking protein particle complex subunit BET3	BET3 PP7435_Chr1-0077	GO:0005783; GO:0005794; GO:0030008; GO:0048193	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008]	Golgi vesicle transport [GO:0048193]		endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008]; Golgi vesicle transport [GO:0048193]
Q0JZK1	Q0JZK1	unreviewed	Q0JZK1_CUPNH	ABC-type transporter, periplasmic component: HAAT family	H16_B2041					
F2QRE7	F2QRE7	unreviewed	F2QRE7_KOMPC	Nuclear pore complex subunit	NUP192 PP7435_Chr2-0280	GO:0005643	nuclear pore [GO:0005643]			nuclear pore [GO:0005643]
F2QTJ2	F2QTJ2	unreviewed	F2QTJ2_KOMPC	RPAP3_C domain-containing protein	PP7435_Chr2-1042					
Q0K7T6	Q0K7T6	unreviewed	Q0K7T6_CUPNH	Hypothetical membrane associated protein	H16_A2858					
F2QLF4	F2QLF4	unreviewed	F2QLF4_KOMPC	Ribosome biogenesis involved protein	RSA4 PP7435_Chr1-2797	GO:0005730	nucleolus [GO:0005730]			nucleolus [GO:0005730]
Q0K1B1	Q0K1B1	unreviewed	Q0K1B1_CUPNH	Transcriptional regulator, CadC-family	H16_B1424	GO:0000160; GO:0003677; GO:0006355		phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	DNA binding [GO:0003677]	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
Q0KFN0	Q0KFN0	unreviewed	Q0KFN0_CUPNH	N-Acetyltransferase (GNAT) family, EC 2.3.1.-	H16_A0039	GO:0008080			N-acetyltransferase activity [GO:0008080]	N-acetyltransferase activity [GO:0008080]
F2QZE9	F2QZE9	unreviewed	F2QZE9_KOMPC	NuA4 histone H4 acetyltransferase complex and the SWR1 complex subunit	YAF9 PP7435_Chr4-0617	GO:0005634; GO:0006355; GO:0016740; GO:1990234	nucleus [GO:0005634]; transferase complex [GO:1990234]	regulation of transcription, DNA-templated [GO:0006355]	transferase activity [GO:0016740]	nucleus [GO:0005634]; transferase complex [GO:1990234]; transferase activity [GO:0016740]; regulation of transcription, DNA-templated [GO:0006355]
F2QM75	F2QM75	unreviewed	F2QM75_KOMPC	Translation machinery-associated protein 20	TMA20 PP7435_Chr1-0363	GO:0003723; GO:0005737	cytoplasm [GO:0005737]		RNA binding [GO:0003723]	cytoplasm [GO:0005737]; RNA binding [GO:0003723]
F2QPE5	F2QPE5	unreviewed	F2QPE5_KOMPC	Putative ribosomal protein, mitochondrial	MNP1 PP7435_Chr1-1143	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1G4KPE2	A0A1G4KPE2	unreviewed	A0A1G4KPE2_KOMPC	Palmitoyltransferase, EC 2.3.1.225	PFA3 PP7435_Chr1-0894	GO:0016021; GO:0019706	integral component of membrane [GO:0016021]		protein-cysteine S-palmitoyltransferase activity [GO:0019706]	integral component of membrane [GO:0016021]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]
Q0K6L1	Q0K6L1	unreviewed	Q0K6L1_CUPNH	Transcriptional regulator, MarR-family	H16_A3286	GO:0003700			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]
F2QSR6	F2QSR6	unreviewed	F2QSR6_KOMPC	Trafficking protein particle complex II-specific subunit 130	TRS130 PP7435_Chr2-0759	GO:0048193; GO:1990071	TRAPPII protein complex [GO:1990071]	Golgi vesicle transport [GO:0048193]		TRAPPII protein complex [GO:1990071]; Golgi vesicle transport [GO:0048193]
F2QM08	F2QM08	unreviewed	F2QM08_KOMPC	Transcriptional activator of nitrogen related genes	GLN3 PP7435_Chr1-0129	GO:0003700; GO:0005634; GO:0006357; GO:0008270; GO:0043565	nucleus [GO:0005634]	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; regulation of transcription by RNA polymerase II [GO:0006357]
Q0K9C2	Q0K9C2	unreviewed	Q0K9C2_CUPNH	Probable extra-cytoplasmic solute receptor	H16_A2303	GO:0042597	periplasmic space [GO:0042597]			periplasmic space [GO:0042597]
Q0K5E9	Q0K5E9	unreviewed	Q0K5E9_CUPNH	Cation/multidrug efflux pump	acrB7a H16_A3716	GO:0005886; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		transmembrane transporter activity [GO:0022857]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]
Q0KE84	Q0KE84	unreviewed	Q0KE84_CUPNH	Uncharacterized protein conserved in bacteria	H16_A0537	GO:0009252; GO:0016740; GO:0071972		peptidoglycan biosynthetic process [GO:0009252]	peptidoglycan L,D-transpeptidase activity [GO:0071972]; transferase activity [GO:0016740]	peptidoglycan L,D-transpeptidase activity [GO:0071972]; transferase activity [GO:0016740]; peptidoglycan biosynthetic process [GO:0009252]
F2QZH7	F2QZH7	unreviewed	F2QZH7_KOMPC	Peroxisomal adenine nucleotide transporter 1	ANT1 PP7435_Chr4-0647	GO:0016021	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]
Q0KA63	Q0KA63	unreviewed	Q0KA63_CUPNH	Universal stress protein, UspA family	H16_A2008					
ADH1_YEAST	P00330	reviewed	ADH1_YEAST	Alcohol dehydrogenase 1, EC 1.1.1.1 (Alcohol dehydrogenase I) (YADH-1)	ADH1 ADC1 YOL086C O0947	GO:0000947; GO:0004022; GO:0005737; GO:0005886; GO:0006116; GO:0008270; GO:0019170; GO:0042802; GO:0043458; GO:0045069; GO:0046809; GO:1904408	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; replication compartment [GO:0046809]	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol biosynthetic process involved in glucose fermentation to ethanol [GO:0043458]; NADH oxidation [GO:0006116]; regulation of viral genome replication [GO:0045069]	alcohol dehydrogenase (NAD+) activity [GO:0004022]; identical protein binding [GO:0042802]; melatonin binding [GO:1904408]; methylglyoxal reductase (NADH-dependent) activity [GO:0019170]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; replication compartment [GO:0046809]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; identical protein binding [GO:0042802]; melatonin binding [GO:1904408]; methylglyoxal reductase (NADH-dependent) activity [GO:0019170]; zinc ion binding [GO:0008270]; amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol biosynthetic process involved in glucose fermentation to ethanol [GO:0043458]; NADH oxidation [GO:0006116]; regulation of viral genome replication [GO:0045069]
Q0KEJ1	Q0KEJ1	unreviewed	Q0KEJ1_CUPNH	Trehalose-6-phosphate synthase, EC 2.4.1.15 (Osmoregulatory trehalose synthesis protein A) (UDP-glucose-glucosephosphate glucosyltransferase)	H16_A0430	GO:0003825; GO:0005992		trehalose biosynthetic process [GO:0005992]	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose biosynthetic process [GO:0005992]
F2QP84	F2QP84	unreviewed	F2QP84_KOMPC	Putative GTP cyclohydrolase	URC1 PP7435_Chr1-1082	GO:0003935; GO:0005525; GO:0009231		riboflavin biosynthetic process [GO:0009231]	GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]	GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; riboflavin biosynthetic process [GO:0009231]
Q0KER4	Q0KER4	unreviewed	Q0KER4_CUPNH	Anthranilate phosphoribosyltransferase, EC 2.4.2.18	trpD2 H16_A0356	GO:0000162; GO:0004048		tryptophan biosynthetic process [GO:0000162]	anthranilate phosphoribosyltransferase activity [GO:0004048]	anthranilate phosphoribosyltransferase activity [GO:0004048]; tryptophan biosynthetic process [GO:0000162]
Q0K9W6	Q0K9W6	unreviewed	Q0K9W6_CUPNH	Carbamoylphosphate synthase, large subunit, EC 6.3.5.5	carB1 H16_A2106	GO:0004088; GO:0005524; GO:0046872			ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]
Q0K6X0	Q0K6X0	unreviewed	Q0K6X0_CUPNH	Carbohydrate kinase, PfkB family, EC 2.7.1.-	H16_A3176	GO:0016301; GO:0016310; GO:0016773		phosphorylation [GO:0016310]	kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; phosphorylation [GO:0016310]
F2QX10	F2QX10	unreviewed	F2QX10_KOMPC	Uncharacterized protein	PP7435_Chr3-0992	GO:0016757			glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]
F2QX73	F2QX73	unreviewed	F2QX73_KOMPC	Probable metalloprotease ARX1 (Associated with ribosomal export complex protein 1)	CDB4 PP7435_Chr3-1058	GO:0003677			DNA binding [GO:0003677]	DNA binding [GO:0003677]
Q0KCQ8	Q0KCQ8	unreviewed	Q0KCQ8_CUPNH	Bo3-type quinol oxidase, subunit I, EC 1.10.3.-	cyoB1 H16_A1072	GO:0004129; GO:0009060; GO:0016021; GO:0016682; GO:0020037; GO:0070469	integral component of membrane [GO:0016021]; respirasome [GO:0070469]	aerobic respiration [GO:0009060]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]	integral component of membrane [GO:0016021]; respirasome [GO:0070469]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; aerobic respiration [GO:0009060]
Q0K428	Q0K428	unreviewed	Q0K428_CUPNH	NADP-specific glutamate dehydrogenase	H16_B0449	GO:0000166; GO:0004354; GO:0006520		cellular amino acid metabolic process [GO:0006520]	glutamate dehydrogenase (NADP+) activity [GO:0004354]; nucleotide binding [GO:0000166]	glutamate dehydrogenase (NADP+) activity [GO:0004354]; nucleotide binding [GO:0000166]; cellular amino acid metabolic process [GO:0006520]
Q0KBG6	Q0KBG6	unreviewed	Q0KBG6_CUPNH	ABC-type transporter, ATPase component: HAAT family, EC 3.6.3.22	H16_A1523	GO:0005524; GO:0005886; GO:0016787	plasma membrane [GO:0005886]		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]
F2QY41	F2QY41	unreviewed	F2QY41_KOMPC	NADPH--cytochrome P450 reductase, CPR, P450R, EC 1.6.2.4	NCP1 PP7435_Chr4-0144	GO:0003958; GO:0005741; GO:0005789; GO:0005886; GO:0006696; GO:0010181; GO:0016021; GO:0050660; GO:0050661	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]	ergosterol biosynthetic process [GO:0006696]	flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958]; ergosterol biosynthetic process [GO:0006696]
Q0K0G2	Q0K0G2	unreviewed	Q0K0G2_CUPNH	Putative extracytoplasmic hydrolase	H16_B1729	GO:0016787			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]
F2QSF4	F2QSF4	unreviewed	F2QSF4_KOMPC	Serine/threonine-protein phosphatase, EC 3.1.3.16	GLC7 PP7435_Chr2-0645	GO:0000164; GO:0017018; GO:0046872	protein phosphatase type 1 complex [GO:0000164]		metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]	protein phosphatase type 1 complex [GO:0000164]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]
Q0KD17	Q0KD17	unreviewed	Q0KD17_CUPNH	Uncharacterized protein	H16_A0960					
Q0K731	Q0K731	unreviewed	Q0K731_CUPNH	Protein translocase subunit SecD	secD H16_A3115	GO:0005886; GO:0006605; GO:0015450; GO:0016021; GO:0043952; GO:0065002	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952]	protein-transporting ATPase activity [GO:0015450]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein-transporting ATPase activity [GO:0015450]; intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952]
Q0K079	Q0K079	unreviewed	Q0K079_CUPNH	Putative 2-Ketogluconate-6-phosphate reductase, EC 1.1.1.43	kguD H16_B1813	GO:0008114; GO:0051287			NAD binding [GO:0051287]; phosphogluconate 2-dehydrogenase activity [GO:0008114]	NAD binding [GO:0051287]; phosphogluconate 2-dehydrogenase activity [GO:0008114]
Q0JZQ2	Q0JZQ2	unreviewed	Q0JZQ2_CUPNH	Putative oxidoreductase, EC 1.-.-.-	H16_B1990	GO:0016491			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
Q0K1I7	Q0K1I7	unreviewed	Q0K1I7_CUPNH	Putative peptidase, C56 family, EC 3.4.-.-	H16_B1347	GO:0016787; GO:0036524			hydrolase activity [GO:0016787]; protein deglycase activity [GO:0036524]	hydrolase activity [GO:0016787]; protein deglycase activity [GO:0036524]
Q0K5U4	Q0K5U4	unreviewed	Q0K5U4_CUPNH	Sulfur oxidation protein (SoxY)	soxY H16_A3569					
Q0KCM9	Q0KCM9	unreviewed	Q0KCM9_CUPNH	Enoyl-CoA hydratase/carnithine racemase, EC 4.2.1.17	H16_A1101	GO:0004300; GO:0005737	cytoplasm [GO:0005737]		enoyl-CoA hydratase activity [GO:0004300]	cytoplasm [GO:0005737]; enoyl-CoA hydratase activity [GO:0004300]
Q0K6B1	Q0K6B1	unreviewed	Q0K6B1_CUPNH	DNA helicase, EC 3.6.4.12	H16_A3391	GO:0003677; GO:0003678; GO:0005524; GO:0016887			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]
F2QLZ4	F2QLZ4	unreviewed	F2QLZ4_KOMPC	Small GTPase of the Rho/Rac subfamily of Ras-like proteins	RHO5 PP7435_Chr1-0115	GO:0003924; GO:0005525; GO:0007264		small GTPase mediated signal transduction [GO:0007264]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase mediated signal transduction [GO:0007264]
Q0K887	Q0K887	unreviewed	Q0K887_CUPNH	Microcin-processing peptidase 1, EC 3.4.24.-	pmbA H16_A2705	GO:0006508; GO:0008237		proteolysis [GO:0006508]	metallopeptidase activity [GO:0008237]	metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]
F2QMV9	F2QMV9	unreviewed	F2QMV9_KOMPC	Uncharacterized protein	PP7435_Chr1-0774	GO:0006777		Mo-molybdopterin cofactor biosynthetic process [GO:0006777]		Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q0JYD9	Q0JYD9	unreviewed	Q0JYD9_CUPNH	Protoporphyrinogen oxidase, EC 1.3.3.4	H16_B2453	GO:0004729			oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729]	oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729]
F2QQH6	F2QQH6	unreviewed	F2QQH6_KOMPC	Uncharacterized protein	PP7435_Chr1-1543	GO:0016021	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]
Q0K569	Q0K569	unreviewed	Q0K569_CUPNH	Transcriptional regulator, LysR-family	H16_B0049	GO:0003700			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]
F2QSX0	F2QSX0	unreviewed	F2QSX0_KOMPC	Putative glycerol channel activator	RGC1 PP7435_Chr2-0815					
Q0K8H0	Q0K8H0	unreviewed	Q0K8H0_CUPNH	3-isopropylmalate dehydrogenase, EC 1.1.1.85 (3-IPM-DH) (Beta-IPM dehydrogenase, IMDH)	leuB3 leuB H16_A2619	GO:0000287; GO:0003862; GO:0005737; GO:0009098; GO:0051287	cytoplasm [GO:0005737]	leucine biosynthetic process [GO:0009098]	3-isopropylmalate dehydrogenase activity [GO:0003862]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	cytoplasm [GO:0005737]; 3-isopropylmalate dehydrogenase activity [GO:0003862]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; leucine biosynthetic process [GO:0009098]
Q0K1H7	Q0K1H7	unreviewed	Q0K1H7_CUPNH	Phenylacetic acid degradation protein K,phenylacetaldehyde dehydrogenase, EC 1.2.1.39	paaK2 H16_B1358	GO:0008957			phenylacetaldehyde dehydrogenase activity [GO:0008957]	phenylacetaldehyde dehydrogenase activity [GO:0008957]
Q0K7J8	Q0K7J8	unreviewed	Q0K7J8_CUPNH	Long chain fatty acid-CoA ligase, EC 6.2.1.3	H16_A2947	GO:0004467			long-chain fatty acid-CoA ligase activity [GO:0004467]	long-chain fatty acid-CoA ligase activity [GO:0004467]
Q0KBN1	Q0KBN1	unreviewed	Q0KBN1_CUPNH	Transcription-repair-coupling factor, TRCF, EC 3.6.4.-	mfd H16_A1455	GO:0000716; GO:0003684; GO:0004386; GO:0005524; GO:0005737; GO:0006355; GO:0009380; GO:0016887	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]	regulation of transcription, DNA-templated [GO:0006355]; transcription-coupled nucleotide-excision repair, DNA damage recognition [GO:0000716]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; damaged DNA binding [GO:0003684]; helicase activity [GO:0004386]	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; damaged DNA binding [GO:0003684]; helicase activity [GO:0004386]; regulation of transcription, DNA-templated [GO:0006355]; transcription-coupled nucleotide-excision repair, DNA damage recognition [GO:0000716]
A0A1G4KQK6	A0A1G4KQK6	unreviewed	A0A1G4KQK6_KOMPC	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain ] [Includes: Glutamate N-acetyltransferase, GAT, EC 2.3.1.35 (Ornithine acetyltransferase, OATase) (Ornithine transacetylase); Amino-acid acetyltransferase, EC 2.3.1.1 (N-acetylglutamate synthase, AGS) ]	ARG7 PP7435_Chr3-2645	GO:0004042; GO:0004358; GO:0005759; GO:0006526; GO:0103045	mitochondrial matrix [GO:0005759]	arginine biosynthetic process [GO:0006526]	acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]; glutamate N-acetyltransferase activity [GO:0004358]; methione N-acyltransferase activity [GO:0103045]	mitochondrial matrix [GO:0005759]; acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]; glutamate N-acetyltransferase activity [GO:0004358]; methione N-acyltransferase activity [GO:0103045]; arginine biosynthetic process [GO:0006526]
F2QLQ1	F2QLQ1	unreviewed	F2QLQ1_KOMPC	Uncharacterized protein	PP7435_Chr1-1013	GO:0016021	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]
Q0KDG2	Q0KDG2	unreviewed	Q0KDG2_CUPNH	ABC-type transporter, permease component: MUT family	H16_A0812	GO:0005886; GO:0016021; GO:0055085	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	transmembrane transport [GO:0055085]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]
F2QW83	F2QW83	unreviewed	F2QW83_KOMPC	Zinc finger transcriptional activator	ARO80 PP7435_Chr3-0705	GO:0000981; GO:0003677; GO:0006351; GO:0008270		transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]
Q0JY22	Q0JY22	unreviewed	Q0JY22_CUPNH	Outer membrane receptor for Fe(III)-dicitrate	fecA H16_B2570	GO:0009279; GO:0015344; GO:0038023	cell outer membrane [GO:0009279]		siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]
Q0KBF7	Q0KBF7	unreviewed	Q0KBF7_CUPNH	Uncharacterized protein, possibly involved in aromatic compounds catabolism	H16_A1532					
Q0KE82	Q0KE82	unreviewed	Q0KE82_CUPNH	Putative MFS transporter, MHS family	H16_A0540	GO:0016021; GO:0022857	integral component of membrane [GO:0016021]		transmembrane transporter activity [GO:0022857]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]
Q0K2E8	Q0K2E8	unreviewed	Q0K2E8_CUPNH	Transcriptional regulator	H16_B1035	GO:0003700; GO:0043565			DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
F2QZB2	F2QZB2	unreviewed	F2QZB2_KOMPC	Ribosome associating protein	TMA10 PP7435_Chr4-0578					
Q0JZ43	Q0JZ43	unreviewed	Q0JZ43_CUPNH	Lipopolysaccharide N-acetylglucosaminyl transferase	H16_B2199	GO:0016740			transferase activity [GO:0016740]	transferase activity [GO:0016740]
F2QX00	F2QX00	unreviewed	F2QX00_KOMPC	DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1)	SOF1 PP7435_Chr3-0982	GO:0005730; GO:0006364; GO:0016567	nucleolus [GO:0005730]	protein ubiquitination [GO:0016567]; rRNA processing [GO:0006364]		nucleolus [GO:0005730]; protein ubiquitination [GO:0016567]; rRNA processing [GO:0006364]
Q0K660	Q0K660	unreviewed	Q0K660_CUPNH	Diaminopimelate decarboxylase, DAP decarboxylase, DAPDC, EC 4.1.1.20	lysA2 lysA H16_A3443	GO:0008836; GO:0009089; GO:0030170		lysine biosynthetic process via diaminopimelate [GO:0009089]	diaminopimelate decarboxylase activity [GO:0008836]; pyridoxal phosphate binding [GO:0030170]	diaminopimelate decarboxylase activity [GO:0008836]; pyridoxal phosphate binding [GO:0030170]; lysine biosynthetic process via diaminopimelate [GO:0009089]
Q0KBU2	Q0KBU2	unreviewed	Q0KBU2_CUPNH	Transcriptional regulator, LysR-family	H16_A1393	GO:0003700			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]
A0A1G4KQ64	A0A1G4KQ64	unreviewed	A0A1G4KQ64_KOMPC	Phosphoesterase	DCR2 PP7435_Chr3-0063	GO:0016021; GO:0016787	integral component of membrane [GO:0016021]		hydrolase activity [GO:0016787]	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]
Q0K9Q1	Q0K9Q1	unreviewed	Q0K9Q1_CUPNH	Copper efflux P-type ATPase, EC 3.6.3.4	copF H16_A2173	GO:0005524; GO:0005886; GO:0016021; GO:0016887; GO:0019829; GO:0046872	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; metal ion binding [GO:0046872]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; metal ion binding [GO:0046872]
F2QX24	F2QX24	unreviewed	F2QX24_KOMPC	54S ribosomal protein L49, mitochondrial	MRPL49 PP7435_Chr3-1006	GO:0005737; GO:0005840	cytoplasm [GO:0005737]; ribosome [GO:0005840]			cytoplasm [GO:0005737]; ribosome [GO:0005840]
F2QXL8	F2QXL8	unreviewed	F2QXL8_KOMPC	Mitochondrial 2-oxoadipate and 2-oxoglutarate transporter	ODC1 PP7435_Chr3-1205	GO:0005471; GO:0005743; GO:0016021; GO:0140021; GO:1990544	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]	ATP:ADP antiporter activity [GO:0005471]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; ATP:ADP antiporter activity [GO:0005471]; mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]
Q0K8Q2	Q0K8Q2	unreviewed	Q0K8Q2_CUPNH	TonB-like protein, links inner and outer membranes	H16_A2532	GO:0005886; GO:0016021; GO:0055085	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	transmembrane transport [GO:0055085]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]
